rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,goal_id,stamp,secs,nsecs,id,goal,target_pose,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
53454000000,,0,,53,454000000,'',,,53,454000000,"""/simple_navigation_goals-1-53.454000000""",,,,0,,53,454000000,"""odom""",,,0.0,5.0,0.0,,0.0,0.0,0.0,1.0
73159000000,,1,,73,159000000,'',,,73,159000000,"""/simple_navigation_goals-2-73.159000000""",,,,0,,53,454000000,"""odom""",,,3.0,6.0,0.0,,0.0,0.0,0.0,1.0
84102000000,,2,,84,101000000,'',,,84,101000000,"""/simple_navigation_goals-3-84.101000000""",,,,0,,53,454000000,"""odom""",,,2.0,1.0,0.0,,0.0,0.0,0.0,1.0
106351000000,,3,,106,351000000,'',,,106,351000000,"""/simple_navigation_goals-4-106.351000000""",,,,0,,53,454000000,"""odom""",,,4.0,-3.0,0.0,,0.0,0.0,0.0,1.0
125591000000,,4,,125,591000000,'',,,125,591000000,"""/simple_navigation_goals-5-125.591000000""",,,,0,,53,454000000,"""odom""",,,1.0,-2.0,0.0,,0.0,0.0,0.0,1.0
143746000000,,5,,143,745000000,'',,,143,745000000,"""/simple_navigation_goals-6-143.745000000""",,,,0,,53,454000000,"""odom""",,,-2.0,6.0,0.0,,0.0,0.0,0.0,1.0
187189000000,,0,,187,189000000,'',,,187,189000000,"""/simple_navigation_goals-1-187.189000000""",,,,0,,187,186000000,"""odom""",,,5.0,0.0,0.0,,0.0,0.0,0.0,1.0
213400000000,,1,,213,400000000,'',,,213,400000000,"""/simple_navigation_goals-2-213.400000000""",,,,0,,187,186000000,"""odom""",,,2.0,6.0,0.0,,0.0,0.0,0.0,1.0
236913000000,,2,,236,913000000,'',,,236,913000000,"""/simple_navigation_goals-3-236.913000000""",,,,0,,187,186000000,"""odom""",,,5.0,-1.0,0.0,,0.0,0.0,0.0,1.0
